Votes,Score,English_Name,Favourites_count,Popularity_ranking
766783,10,Death Note,3645111,2
765093,9,Death Note,3645111,2
598036,8,Death Note,3645111,2
283202,7,Death Note,3645111,2
94128,6,Death Note,3645111,2
38250,5,Death Note,3645111,2
14314,4,Death Note,3645111,2
5088,3,Death Note,3645111,2
3044,2,Death Note,3645111,2
5092,1,Death Note,3645111,2
713740,10,Shingeki no Kyojin,,1
751238,9,Shingeki no Kyojin,,1
672922,8,Shingeki no Kyojin,,1
307491,7,Shingeki no Kyojin,,1
93237,6,Shingeki no Kyojin,,1
39366,5,Shingeki no Kyojin,,1
15012,4,Shingeki no Kyojin,,1
6016,3,Shingeki no Kyojin,,1
3561,2,Shingeki no Kyojin,,1
8363,1,Shingeki no Kyojin,,1
957124,10,Fullmetal Alchemist: Brotherhood,214254,3
545410,9,Fullmetal Alchemist: Brotherhood,214254,3
278228,8,Fullmetal Alchemist: Brotherhood,214254,3
99716,7,Fullmetal Alchemist: Brotherhood,214254,3
29663,6,Fullmetal Alchemist: Brotherhood,214254,3
14146,5,Fullmetal Alchemist: Brotherhood,214254,3
5101,4,Fullmetal Alchemist: Brotherhood,214254,3
2474,3,Fullmetal Alchemist: Brotherhood,214254,3
3064,2,Fullmetal Alchemist: Brotherhood,214254,3
41494,1,Fullmetal Alchemist: Brotherhood,214254,3
292978,10,Sword Art Online,66367,5
291410,9,Sword Art Online,66367,5
399700,8,Sword Art Online,66367,5
412643,7,Sword Art Online,66367,5
256597,6,Sword Art Online,66367,5
166333,5,Sword Art Online,66367,5
106161,4,Sword Art Online,66367,5
56341,3,Sword Art Online,66367,5
31830,2,Sword Art Online,66367,5
29542,1,Sword Art Online,66367,5
466990,10,One Punch Man,3000017,4
643748,9,One Punch Man,3000017,4
605479,8,One Punch Man,3000017,4
262512,7,One Punch Man,3000017,4
70362,6,One Punch Man,3000017,4
25839,5,One Punch Man,3000017,4
8036,4,One Punch Man,3000017,4
3167,3,One Punch Man,3000017,4
1929,2,One Punch Man,3000017,4
3521,1,One Punch Man,3000017,4
245849,10,Boku no Hero Academia,,6
404538,9,Boku no Hero Academia,,6
607161,8,Boku no Hero Academia,,6
439004,7,Boku no Hero Academia,,6
149098,6,Boku no Hero Academia,,6
59626,5,Boku no Hero Academia,,6
